,Quarter,Region,State,Purpose,Trips,Latitude,Longitude
83,1/07/1999,Adelaide,South Australia,Holiday,136.0347311,-34.92123,138.599503
84,1/10/1999,Adelaide,South Australia,Holiday,168.6863799,-34.92123,138.599503
85,1/01/2000,Adelaide,South Australia,Holiday,184.1202637,-34.92123,138.599503
86,1/04/2000,Adelaide,South Australia,Holiday,134.3627013,-34.92123,138.599503
87,1/07/2000,Adelaide,South Australia,Holiday,145.3610392,-34.92123,138.599503
88,1/10/2000,Adelaide,South Australia,Holiday,150.513124,-34.92123,138.599503
89,1/01/2001,Adelaide,South Australia,Holiday,160.2282407,-34.92123,138.599503
90,1/04/2001,Adelaide,South Australia,Holiday,133.1343279,-34.92123,138.599503
91,1/07/2001,Adelaide,South Australia,Holiday,153.773094,-34.92123,138.599503
92,1/10/2001,Adelaide,South Australia,Holiday,181.4068405,-34.92123,138.599503
93,1/01/2002,Adelaide,South Australia,Holiday,169.0469312,-34.92123,138.599503
94,1/04/2002,Adelaide,South Australia,Holiday,114.2086238,-34.92123,138.599503
95,1/07/2002,Adelaide,South Australia,Holiday,130.3304208,-34.92123,138.599503
96,1/10/2002,Adelaide,South Australia,Holiday,130.4795052,-34.92123,138.599503
97,1/01/2003,Adelaide,South Australia,Holiday,146.7703147,-34.92123,138.599503
98,1/04/2003,Adelaide,South Australia,Holiday,126.7641332,-34.92123,138.599503
99,1/07/2003,Adelaide,South Australia,Holiday,149.4360349,-34.92123,138.599503
100,1/10/2003,Adelaide,South Australia,Holiday,111.0500583,-34.92123,138.599503
101,1/01/2004,Adelaide,South Australia,Holiday,186.7720696,-34.92123,138.599503
102,1/04/2004,Adelaide,South Australia,Holiday,135.9060186,-34.92123,138.599503
103,1/07/2004,Adelaide,South Australia,Holiday,112.9890536,-34.92123,138.599503
104,1/10/2004,Adelaide,South Australia,Holiday,158.0570262,-34.92123,138.599503
105,1/01/2005,Adelaide,South Australia,Holiday,141.6333769,-34.92123,138.599503
106,1/04/2005,Adelaide,South Australia,Holiday,120.1251157,-34.92123,138.599503
107,1/07/2005,Adelaide,South Australia,Holiday,160.774783,-34.92123,138.599503
108,1/10/2005,Adelaide,South Australia,Holiday,149.0777328,-34.92123,138.599503
109,1/01/2006,Adelaide,South Australia,Holiday,191.525738,-34.92123,138.599503
110,1/04/2006,Adelaide,South Australia,Holiday,163.649515,-34.92123,138.599503
111,1/07/2006,Adelaide,South Australia,Holiday,138.133273,-34.92123,138.599503
112,1/10/2006,Adelaide,South Australia,Holiday,164.849392,-34.92123,138.599503
113,1/01/2007,Adelaide,South Australia,Holiday,185.5543828,-34.92123,138.599503
114,1/04/2007,Adelaide,South Australia,Holiday,180.6817518,-34.92123,138.599503
115,1/07/2007,Adelaide,South Australia,Holiday,134.4982174,-34.92123,138.599503
116,1/10/2007,Adelaide,South Australia,Holiday,155.604757,-34.92123,138.599503
117,1/01/2008,Adelaide,South Australia,Holiday,181.779807,-34.92123,138.599503
118,1/04/2008,Adelaide,South Australia,Holiday,147.5425818,-34.92123,138.599503
119,1/07/2008,Adelaide,South Australia,Holiday,129.5127253,-34.92123,138.599503
120,1/10/2008,Adelaide,South Australia,Holiday,152.0620509,-34.92123,138.599503
121,1/01/2009,Adelaide,South Australia,Holiday,147.951753,-34.92123,138.599503
122,1/04/2009,Adelaide,South Australia,Holiday,150.9474509,-34.92123,138.599503
123,1/07/2009,Adelaide,South Australia,Holiday,157.6999575,-34.92123,138.599503
124,1/10/2009,Adelaide,South Australia,Holiday,167.0237365,-34.92123,138.599503
125,1/01/2010,Adelaide,South Australia,Holiday,190.0186267,-34.92123,138.599503
126,1/04/2010,Adelaide,South Australia,Holiday,134.4421162,-34.92123,138.599503
127,1/07/2010,Adelaide,South Australia,Holiday,108.0330401,-34.92123,138.599503
128,1/10/2010,Adelaide,South Australia,Holiday,159.5471503,-34.92123,138.599503
129,1/01/2011,Adelaide,South Australia,Holiday,169.8550653,-34.92123,138.599503
130,1/04/2011,Adelaide,South Australia,Holiday,174.7726763,-34.92123,138.599503
131,1/07/2011,Adelaide,South Australia,Holiday,109.4812806,-34.92123,138.599503
132,1/10/2011,Adelaide,South Australia,Holiday,165.597184,-34.92123,138.599503
133,1/01/2012,Adelaide,South Australia,Holiday,169.7142825,-34.92123,138.599503
134,1/04/2012,Adelaide,South Australia,Holiday,124.6560046,-34.92123,138.599503
135,1/07/2012,Adelaide,South Australia,Holiday,148.6707777,-34.92123,138.599503
136,1/10/2012,Adelaide,South Australia,Holiday,153.7400777,-34.92123,138.599503
137,1/01/2013,Adelaide,South Australia,Holiday,171.0331777,-34.92123,138.599503
138,1/04/2013,Adelaide,South Australia,Holiday,127.9855815,-34.92123,138.599503
139,1/07/2013,Adelaide,South Australia,Holiday,130.9978837,-34.92123,138.599503
140,1/10/2013,Adelaide,South Australia,Holiday,118.0241892,-34.92123,138.599503
141,1/01/2014,Adelaide,South Australia,Holiday,181.5294045,-34.92123,138.599503
142,1/04/2014,Adelaide,South Australia,Holiday,159.832988,-34.92123,138.599503
143,1/07/2014,Adelaide,South Australia,Holiday,130.2123061,-34.92123,138.599503
144,1/10/2014,Adelaide,South Australia,Holiday,137.4820398,-34.92123,138.599503
145,1/01/2015,Adelaide,South Australia,Holiday,214.2565621,-34.92123,138.599503
146,1/04/2015,Adelaide,South Australia,Holiday,125.0024901,-34.92123,138.599503
147,1/07/2015,Adelaide,South Australia,Holiday,130.510519,-34.92123,138.599503
148,1/10/2015,Adelaide,South Australia,Holiday,180.5502086,-34.92123,138.599503
149,1/01/2016,Adelaide,South Australia,Holiday,194.9879354,-34.92123,138.599503
150,1/04/2016,Adelaide,South Australia,Holiday,177.1418065,-34.92123,138.599503
151,1/07/2016,Adelaide,South Australia,Holiday,154.1169205,-34.92123,138.599503
152,1/10/2016,Adelaide,South Australia,Holiday,147.1019643,-34.92123,138.599503
153,1/01/1998,Adelaide,South Australia,Other,58.3626891,-34.92123,138.599503
154,1/04/1998,Adelaide,South Australia,Other,39.4687353,-34.92123,138.599503
155,1/07/1998,Adelaide,South Australia,Other,38.431629,-34.92123,138.599503
156,1/10/1998,Adelaide,South Australia,Other,33.7915233,-34.92123,138.599503
157,1/01/1999,Adelaide,South Australia,Other,25.9018459,-34.92123,138.599503
158,1/04/1999,Adelaide,South Australia,Other,54.5493233,-34.92123,138.599503
159,1/07/1999,Adelaide,South Australia,Other,28.7145367,-34.92123,138.599503
160,1/10/1999,Adelaide,South Australia,Other,44.903216,-34.92123,138.599503
161,1/01/2000,Adelaide,South Australia,Other,56.4463277,-34.92123,138.599503
162,1/04/2000,Adelaide,South Australia,Other,80.9540403,-34.92123,138.599503
163,1/07/2000,Adelaide,South Australia,Other,40.340643,-34.92123,138.599503
164,1/10/2000,Adelaide,South Australia,Other,47.349627,-34.92123,138.599503
165,1/01/2001,Adelaide,South Australia,Other,36.8334712,-34.92123,138.599503
166,1/04/2001,Adelaide,South Australia,Other,65.0079823,-34.92123,138.599503
167,1/07/2001,Adelaide,South Australia,Other,54.7317678,-34.92123,138.599503
168,1/10/2001,Adelaide,South Australia,Other,56.2549271,-34.92123,138.599503
169,1/01/2002,Adelaide,South Australia,Other,41.5928159,-34.92123,138.599503
170,1/04/2002,Adelaide,South Australia,Other,36.6562369,-34.92123,138.599503
171,1/07/2002,Adelaide,South Australia,Other,50.8411344,-34.92123,138.599503
172,1/10/2002,Adelaide,South Australia,Other,43.8577248,-34.92123,138.599503
173,1/01/2003,Adelaide,South Australia,Other,40.1157815,-34.92123,138.599503
174,1/04/2003,Adelaide,South Australia,Other,64.3621483,-34.92123,138.599503
175,1/07/2003,Adelaide,South Australia,Other,44.4441751,-34.92123,138.599503
176,1/10/2003,Adelaide,South Australia,Other,43.3242303,-34.92123,138.599503
177,1/01/2004,Adelaide,South Australia,Other,42.3108254,-34.92123,138.599503
178,1/04/2004,Adelaide,South Australia,Other,56.0269055,-34.92123,138.599503
179,1/07/2004,Adelaide,South Australia,Other,59.2224325,-34.92123,138.599503
180,1/10/2004,Adelaide,South Australia,Other,57.6255736,-34.92123,138.599503
181,1/01/2005,Adelaide,South Australia,Other,49.7870409,-34.92123,138.599503
182,1/04/2005,Adelaide,South Australia,Other,49.2945724,-34.92123,138.599503
183,1/07/2005,Adelaide,South Australia,Other,31.9925869,-34.92123,138.599503
184,1/10/2005,Adelaide,South Australia,Other,55.8062237,-34.92123,138.599503
185,1/01/2006,Adelaide,South Australia,Other,50.236464,-34.92123,138.599503
186,1/04/2006,Adelaide,South Australia,Other,55.449475,-34.92123,138.599503
187,1/07/2006,Adelaide,South Australia,Other,54.776388,-34.92123,138.599503
188,1/10/2006,Adelaide,South Australia,Other,41.805042,-34.92123,138.599503
189,1/01/2007,Adelaide,South Australia,Other,41.2923221,-34.92123,138.599503
190,1/04/2007,Adelaide,South Australia,Other,49.9884623,-34.92123,138.599503
191,1/07/2007,Adelaide,South Australia,Other,55.0872166,-34.92123,138.599503
192,1/10/2007,Adelaide,South Australia,Other,51.7531199,-34.92123,138.599503
193,1/01/2008,Adelaide,South Australia,Other,43.8686265,-34.92123,138.599503
194,1/04/2008,Adelaide,South Australia,Other,37.5657883,-34.92123,138.599503
195,1/07/2008,Adelaide,South Australia,Other,46.4611953,-34.92123,138.599503
196,1/10/2008,Adelaide,South Australia,Other,44.106251,-34.92123,138.599503
197,1/01/2009,Adelaide,South Australia,Other,52.0594965,-34.92123,138.599503
198,1/04/2009,Adelaide,South Australia,Other,52.4399762,-34.92123,138.599503
199,1/07/2009,Adelaide,South Australia,Other,56.0704944,-34.92123,138.599503
200,1/10/2009,Adelaide,South Australia,Other,41.9836801,-34.92123,138.599503
201,1/01/2010,Adelaide,South Australia,Other,43.76536,-34.92123,138.599503
202,1/04/2010,Adelaide,South Australia,Other,55.7404317,-34.92123,138.599503
203,1/07/2010,Adelaide,South Australia,Other,53.0696029,-34.92123,138.599503
204,1/10/2010,Adelaide,South Australia,Other,55.3062409,-34.92123,138.599503
205,1/01/2011,Adelaide,South Australia,Other,70.1165861,-34.92123,138.599503
206,1/04/2011,Adelaide,South Australia,Other,56.6278031,-34.92123,138.599503
207,1/07/2011,Adelaide,South Australia,Other,61.9101303,-34.92123,138.599503
208,1/10/2011,Adelaide,South Australia,Other,57.9282548,-34.92123,138.599503
209,1/01/2012,Adelaide,South Australia,Other,58.2204869,-34.92123,138.599503
210,1/04/2012,Adelaide,South Australia,Other,88.1216209,-34.92123,138.599503
211,1/07/2012,Adelaide,South Australia,Other,66.8339913,-34.92123,138.599503
212,1/10/2012,Adelaide,South Australia,Other,42.2232428,-34.92123,138.599503
213,1/01/2013,Adelaide,South Australia,Other,52.7758394,-34.92123,138.599503
214,1/04/2013,Adelaide,South Australia,Other,52.4453248,-34.92123,138.599503
215,1/07/2013,Adelaide,South Australia,Other,79.5717441,-34.92123,138.599503
216,1/10/2013,Adelaide,South Australia,Other,101.7222527,-34.92123,138.599503
217,1/01/2014,Adelaide,South Australia,Other,61.9746584,-34.92123,138.599503
218,1/04/2014,Adelaide,South Australia,Other,66.2706781,-34.92123,138.599503
219,1/07/2014,Adelaide,South Australia,Other,51.6426037,-34.92123,138.599503
220,1/10/2014,Adelaide,South Australia,Other,68.0916207,-34.92123,138.599503
221,1/01/2015,Adelaide,South Australia,Other,58.8773942,-34.92123,138.599503
222,1/04/2015,Adelaide,South Australia,Other,69.6538907,-34.92123,138.599503
223,1/07/2015,Adelaide,South Australia,Other,46.7824002,-34.92123,138.599503
224,1/10/2015,Adelaide,South Australia,Other,40.8500667,-34.92123,138.599503
225,1/01/2016,Adelaide,South Australia,Other,60.7569305,-34.92123,138.599503
226,1/04/2016,Adelaide,South Australia,Other,80.4886879,-34.92123,138.599503
227,1/07/2016,Adelaide,South Australia,Other,81.7148422,-34.92123,138.599503
228,1/10/2016,Adelaide,South Australia,Other,83.5487847,-34.92123,138.599503
229,1/01/1998,Adelaide,South Australia,Visiting,241.5561095,-34.92123,138.599503
230,1/04/1998,Adelaide,South Australia,Visiting,170.1105142,-34.92123,138.599503
231,1/07/1998,Adelaide,South Australia,Visiting,232.3488833,-34.92123,138.599503
232,1/10/1998,Adelaide,South Australia,Visiting,180.9617928,-34.92123,138.599503
233,1/01/1999,Adelaide,South Australia,Visiting,199.711846,-34.92123,138.599503
234,1/04/1999,Adelaide,South Australia,Visiting,179.5662015,-34.92123,138.599503
235,1/07/1999,Adelaide,South Australia,Visiting,203.9482412,-34.92123,138.599503
236,1/10/1999,Adelaide,South Australia,Visiting,214.4801446,-34.92123,138.599503
237,1/01/2000,Adelaide,South Australia,Visiting,251.7557851,-34.92123,138.599503
238,1/04/2000,Adelaide,South Australia,Visiting,178.6629738,-34.92123,138.599503
239,1/07/2000,Adelaide,South Australia,Visiting,147.5333628,-34.92123,138.599503
240,1/10/2000,Adelaide,South Australia,Visiting,213.1198656,-34.92123,138.599503
241,1/01/2001,Adelaide,South Australia,Visiting,239.9944022,-34.92123,138.599503
242,1/04/2001,Adelaide,South Australia,Visiting,155.6012016,-34.92123,138.599503
243,1/07/2001,Adelaide,South Australia,Visiting,162.7763442,-34.92123,138.599503
244,1/10/2001,Adelaide,South Australia,Visiting,256.3846773,-34.92123,138.599503
245,1/01/2002,Adelaide,South Australia,Visiting,198.208282,-34.92123,138.599503
246,1/04/2002,Adelaide,South Australia,Visiting,250.1651577,-34.92123,138.599503
247,1/07/2002,Adelaide,South Australia,Visiting,223.3220049,-34.92123,138.599503
248,1/10/2002,Adelaide,South Australia,Visiting,189.6923009,-34.92123,138.599503
249,1/01/2003,Adelaide,South Australia,Visiting,230.0463821,-34.92123,138.599503
250,1/04/2003,Adelaide,South Australia,Visiting,173.4722393,-34.92123,138.599503
251,1/07/2003,Adelaide,South Australia,Visiting,175.135268,-34.92123,138.599503
252,1/10/2003,Adelaide,South Australia,Visiting,208.7591977,-34.92123,138.599503
253,1/01/2004,Adelaide,South Australia,Visiting,265.7548591,-34.92123,138.599503
254,1/04/2004,Adelaide,South Australia,Visiting,213.8409703,-34.92123,138.599503
255,1/07/2004,Adelaide,South Australia,Visiting,183.408378,-34.92123,138.599503
256,1/10/2004,Adelaide,South Australia,Visiting,231.7860383,-34.92123,138.599503
257,1/01/2005,Adelaide,South Australia,Visiting,261.8095196,-34.92123,138.599503
258,1/04/2005,Adelaide,South Australia,Visiting,176.1852599,-34.92123,138.599503
259,1/07/2005,Adelaide,South Australia,Visiting,165.3942311,-34.92123,138.599503
260,1/10/2005,Adelaide,South Australia,Visiting,182.0362393,-34.92123,138.599503
261,1/01/2006,Adelaide,South Australia,Visiting,218.827553,-34.92123,138.599503
262,1/04/2006,Adelaide,South Australia,Visiting,194.114447,-34.92123,138.599503
263,1/07/2006,Adelaide,South Australia,Visiting,163.068442,-34.92123,138.599503
264,1/10/2006,Adelaide,South Australia,Visiting,220.230351,-34.92123,138.599503
265,1/01/2007,Adelaide,South Australia,Visiting,246.2381097,-34.92123,138.599503
266,1/04/2007,Adelaide,South Australia,Visiting,220.738877,-34.92123,138.599503
267,1/07/2007,Adelaide,South Australia,Visiting,188.9236406,-34.92123,138.599503
268,1/10/2007,Adelaide,South Australia,Visiting,223.1513123,-34.92123,138.599503
269,1/01/2008,Adelaide,South Australia,Visiting,243.6220677,-34.92123,138.599503
270,1/04/2008,Adelaide,South Australia,Visiting,186.8657264,-34.92123,138.599503
271,1/07/2008,Adelaide,South Australia,Visiting,179.00034,-34.92123,138.599503
272,1/10/2008,Adelaide,South Australia,Visiting,218.8652874,-34.92123,138.599503
273,1/01/2009,Adelaide,South Australia,Visiting,193.9363459,-34.92123,138.599503
274,1/04/2009,Adelaide,South Australia,Visiting,166.5628643,-34.92123,138.599503
275,1/07/2009,Adelaide,South Australia,Visiting,206.980141,-34.92123,138.599503
276,1/10/2009,Adelaide,South Australia,Visiting,199.9165145,-34.92123,138.599503
277,1/01/2010,Adelaide,South Australia,Visiting,177.3642501,-34.92123,138.599503
278,1/04/2010,Adelaide,South Australia,Visiting,190.3976189,-34.92123,138.599503
279,1/07/2010,Adelaide,South Australia,Visiting,136.6111544,-34.92123,138.599503
280,1/10/2010,Adelaide,South Australia,Visiting,174.7713795,-34.92123,138.599503
281,1/01/2011,Adelaide,South Australia,Visiting,213.8757276,-34.92123,138.599503
282,1/04/2011,Adelaide,South Australia,Visiting,185.397534,-34.92123,138.599503
283,1/07/2011,Adelaide,South Australia,Visiting,145.3488,-34.92123,138.599503
284,1/10/2011,Adelaide,South Australia,Visiting,206.5681484,-34.92123,138.599503
285,1/01/2012,Adelaide,South Australia,Visiting,177.4265611,-34.92123,138.599503
286,1/04/2012,Adelaide,South Australia,Visiting,165.9582747,-34.92123,138.599503
287,1/07/2012,Adelaide,South Australia,Visiting,174.4469643,-34.92123,138.599503
288,1/10/2012,Adelaide,South Australia,Visiting,236.4678649,-34.92123,138.599503
289,1/01/2013,Adelaide,South Australia,Visiting,177.7299619,-34.92123,138.599503
290,1/04/2013,Adelaide,South Australia,Visiting,213.4183644,-34.92123,138.599503
291,1/07/2013,Adelaide,South Australia,Visiting,197.1145928,-34.92123,138.599503
292,1/10/2013,Adelaide,South Australia,Visiting,180.1940008,-34.92123,138.599503
293,1/01/2014,Adelaide,South Australia,Visiting,231.4417583,-34.92123,138.599503
294,1/04/2014,Adelaide,South Australia,Visiting,271.6676219,-34.92123,138.599503
295,1/07/2014,Adelaide,South Australia,Visiting,150.1489141,-34.92123,138.599503
296,1/10/2014,Adelaide,South Australia,Visiting,266.3051506,-34.92123,138.599503
297,1/01/2015,Adelaide,South Australia,Visiting,215.3990872,-34.92123,138.599503
298,1/04/2015,Adelaide,South Australia,Visiting,223.3509723,-34.92123,138.599503
299,1/07/2015,Adelaide,South Australia,Visiting,190.545635,-34.92123,138.599503
300,1/10/2015,Adelaide,South Australia,Visiting,260.6050131,-34.92123,138.599503
301,1/01/2016,Adelaide,South Australia,Visiting,259.8811767,-34.92123,138.599503
302,1/04/2016,Adelaide,South Australia,Visiting,219.1658594,-34.92123,138.599503
303,1/07/2016,Adelaide,South Australia,Visiting,203.7540928,-34.92123,138.599503
304,1/10/2016,Adelaide,South Australia,Visiting,251.2916838,-34.92123,138.599503
305,1/01/1998,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
306,1/04/1998,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
307,1/07/1998,Adelaide Hills,South Australia,Business,7.4175726,-34.92123,138.599503
308,1/10/1998,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
309,1/01/1999,Adelaide Hills,South Australia,Business,0.669801,-34.92123,138.599503
310,1/04/1999,Adelaide Hills,South Australia,Business,0.9485634,-34.92123,138.599503
311,1/07/1999,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
312,1/10/1999,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
313,1/01/2000,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
314,1/04/2000,Adelaide Hills,South Australia,Business,0.6234467,-34.92123,138.599503
315,1/07/2000,Adelaide Hills,South Australia,Business,4.9205512,-34.92123,138.599503
316,1/10/2000,Adelaide Hills,South Australia,Business,7.2571081,-34.92123,138.599503
317,1/01/2001,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
318,1/04/2001,Adelaide Hills,South Australia,Business,5.4055598,-34.92123,138.599503
319,1/07/2001,Adelaide Hills,South Australia,Business,1.8786155,-34.92123,138.599503
320,1/10/2001,Adelaide Hills,South Australia,Business,0.9916063,-34.92123,138.599503
321,1/01/2002,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
322,1/04/2002,Adelaide Hills,South Australia,Business,2.2811975,-34.92123,138.599503
323,1/07/2002,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
324,1/10/2002,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
325,1/01/2003,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
326,1/04/2003,Adelaide Hills,South Australia,Business,2.265113,-34.92123,138.599503
327,1/07/2003,Adelaide Hills,South Australia,Business,2.4946163,-34.92123,138.599503
328,1/10/2003,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
329,1/01/2004,Adelaide Hills,South Australia,Business,4.1064634,-34.92123,138.599503
330,1/04/2004,Adelaide Hills,South Australia,Business,6.1167046,-34.92123,138.599503
331,1/07/2004,Adelaide Hills,South Australia,Business,28.6015152,-34.92123,138.599503
332,1/10/2004,Adelaide Hills,South Australia,Business,5.1464077,-34.92123,138.599503
333,1/01/2005,Adelaide Hills,South Australia,Business,5.9550873,-34.92123,138.599503
334,1/04/2005,Adelaide Hills,South Australia,Business,6.9998942,-34.92123,138.599503
335,1/07/2005,Adelaide Hills,South Australia,Business,0.7188813,-34.92123,138.599503
336,1/10/2005,Adelaide Hills,South Australia,Business,0,-34.92123,138.599503
337,1/01/2006,Adelaide Hills,South Australia,Business,1.322368,-34.92123,138.599503
338,1/04/2006,Adelaide Hills,South Australia,Business,1.348101,-34.92123,138.599503
339,1/07/2006,Adelaide Hills,South Australia,Business,0.788043,-34.92123,138.599503
340,1/10/2006,Adelaide Hills,South Australia,Business,2.58543,-34.92123,138.599503
